,train_loss,train_bal_acc,val_loss,val_bal_acc,iteration
0,0.33394327538883806,0.6618393162393162,0.368421052631579,0.6253091053607702,1
1,0.34858188472095153,0.6458188034188034,0.34324942791762014,0.6534818510995319,2
2,0.24519670631290025,0.7324615384615385,0.2700228832951945,0.6825819129206041,3
3,0.3174748398902104,0.6528905982905983,0.2860411899313501,0.6738938443875298,4
4,0.3559011893870082,0.5916478632478632,0.3135011441647597,0.6066965468515412,5
5,0.3934126258005489,0.5494547008547008,0.3615560640732265,0.5478450940563455,6
6,0.4190301921317475,0.5144410256410257,0.37757437070938216,0.5140201360063588,7
7,0.41628545288197616,0.518182905982906,0.3661327231121282,0.5331846683741058,8
8,0.37968892955169264,0.5622598290598291,0.33638443935926776,0.5749249315552415,9
9,0.3046660567246111,0.6742888888888889,0.33867276887871856,0.6178684977479466,10
10,0.312900274473925,0.6654786324786324,0.3135011441647597,0.6471341517265743,11
11,0.3055809698078683,0.6713418803418802,0.3295194508009154,0.6373531749536342,12
12,0.2936870997255261,0.6857675213675214,0.34553775743707094,0.614457299302305,13
13,0.3174748398902104,0.660136752136752,0.29748283752860416,0.6678442108981719,14
14,0.3183897529734675,0.6577264957264957,0.30663615560640733,0.6614744325708735,15
15,0.3110704483074108,0.6676153846153846,0.3180778032036613,0.6412169919632607,16
16,0.303751143641354,0.6745521367521368,0.3318077803203662,0.6300229621125144,17
17,0.32845379688929555,0.6481213675213675,0.29290617848970246,0.6704826459418882,18
18,0.32021957913998167,0.6563948717948718,0.30663615560640733,0.6581957078512761,19
19,0.3138151875571821,0.6636051282051282,0.3272311212814645,0.6326613971562307,20
